uri,kind,label,lang,type
http://ddis.ch/atai/indirectSubclassOf,relation,Indirectsubclassof,,relation
http://www.wikidata.org/prop/direct/P101,relation,P101,,relation
http://www.wikidata.org/prop/direct/P1018,relation,P1018,,relation
http://www.wikidata.org/prop/direct/P102,relation,P102,,relation
http://www.wikidata.org/prop/direct/P10241,relation,P10241,,relation
http://www.wikidata.org/prop/direct/P1027,relation,P1027,,relation
http://www.wikidata.org/prop/direct/P1029,relation,P1029,,relation
http://www.wikidata.org/prop/direct/P103,relation,P103,,relation
http://www.wikidata.org/prop/direct/P1034,relation,P1034,,relation
http://www.wikidata.org/prop/direct/P1035,relation,P1035,,relation
http://www.wikidata.org/prop/direct/P1037,relation,P1037,,relation
http://www.wikidata.org/prop/direct/P1038,relation,P1038,,relation
http://www.wikidata.org/prop/direct/P1040,relation,P1040,,relation
http://www.wikidata.org/prop/direct/P1049,relation,P1049,,relation
http://www.wikidata.org/prop/direct/P105,relation,P105,,relation
http://www.wikidata.org/prop/direct/P1050,relation,P1050,,relation
http://www.wikidata.org/prop/direct/P1056,relation,P1056,,relation
http://www.wikidata.org/prop/direct/P106,relation,occupation,,relation
http://www.wikidata.org/prop/direct/P10606,relation,P10606,,relation
http://www.wikidata.org/prop/direct/P1066,relation,P1066,,relation
http://www.wikidata.org/prop/direct/P10664,relation,P10664,,relation
http://www.wikidata.org/prop/direct/P1071,relation,P1071,,relation
http://www.wikidata.org/prop/direct/P1074,relation,P1074,,relation
http://www.wikidata.org/prop/direct/P10741,relation,P10741,,relation
http://www.wikidata.org/prop/direct/P108,relation,P108,,relation
http://www.wikidata.org/prop/direct/P1080,relation,P1080,,relation
http://www.wikidata.org/prop/direct/P10888,relation,P10888,,relation
http://www.wikidata.org/prop/direct/P110,relation,P110,,relation
http://www.wikidata.org/prop/direct/P11106,relation,P11106,,relation
http://www.wikidata.org/prop/direct/P11108,relation,P11108,,relation
http://www.wikidata.org/prop/direct/P112,relation,P112,,relation
http://www.wikidata.org/prop/direct/P1142,relation,P1142,,relation
http://www.wikidata.org/prop/direct/P1165,relation,P1165,,relation
http://www.wikidata.org/prop/direct/P11738,relation,P11738,,relation
http://www.wikidata.org/prop/direct/P11799,relation,P11799,,relation
http://www.wikidata.org/prop/direct/P118,relation,P118,,relation
http://www.wikidata.org/prop/direct/P119,relation,P119,,relation
http://www.wikidata.org/prop/direct/P1192,relation,P1192,,relation
http://www.wikidata.org/prop/direct/P1196,relation,P1196,,relation
http://www.wikidata.org/prop/direct/P121,relation,P121,,relation
http://www.wikidata.org/prop/direct/P122,relation,P122,,relation
http://www.wikidata.org/prop/direct/P123,relation,P123,,relation
http://www.wikidata.org/prop/direct/P12443,relation,P12443,,relation
http://www.wikidata.org/prop/direct/P126,relation,P126,,relation
http://www.wikidata.org/prop/direct/P1269,relation,P1269,,relation
http://www.wikidata.org/prop/direct/P127,relation,P127,,relation
http://www.wikidata.org/prop/direct/P1283,relation,P1283,,relation
http://www.wikidata.org/prop/direct/P1290,relation,P1290,,relation
http://www.wikidata.org/prop/direct/P12933,relation,P12933,,relation
http://www.wikidata.org/prop/direct/P1299,relation,P1299,,relation
http://www.wikidata.org/prop/direct/P1303,relation,P1303,,relation
http://www.wikidata.org/prop/direct/P1304,relation,P1304,,relation
http://www.wikidata.org/prop/direct/P131,relation,located in,,relation
http://www.wikidata.org/prop/direct/P1313,relation,P1313,,relation
http://www.wikidata.org/prop/direct/P1327,relation,P1327,,relation
http://www.wikidata.org/prop/direct/P1336,relation,P1336,,relation
http://www.wikidata.org/prop/direct/P1340,relation,P1340,,relation
http://www.wikidata.org/prop/direct/P1343,relation,P1343,,relation
http://www.wikidata.org/prop/direct/P1344,relation,P1344,,relation
http://www.wikidata.org/prop/direct/P13459,relation,P13459,,relation
http://www.wikidata.org/prop/direct/P1346,relation,P1346,,relation
http://www.wikidata.org/prop/direct/P135,relation,P135,,relation
http://www.wikidata.org/prop/direct/P13574,relation,P13574,,relation
http://www.wikidata.org/prop/direct/P136,relation,genre,,relation
http://www.wikidata.org/prop/direct/P1365,relation,P1365,,relation
http://www.wikidata.org/prop/direct/P1366,relation,P1366,,relation
http://www.wikidata.org/prop/direct/P137,relation,P137,,relation
http://www.wikidata.org/prop/direct/P1376,relation,P1376,,relation
http://www.wikidata.org/prop/direct/P138,relation,P138,,relation
http://www.wikidata.org/prop/direct/P1382,relation,P1382,,relation
http://www.wikidata.org/prop/direct/P1383,relation,P1383,,relation
http://www.wikidata.org/prop/direct/P1387,relation,P1387,,relation
http://www.wikidata.org/prop/direct/P140,relation,P140,,relation
http://www.wikidata.org/prop/direct/P1411,relation,P1411,,relation
http://www.wikidata.org/prop/direct/P1412,relation,P1412,,relation
http://www.wikidata.org/prop/direct/P1416,relation,P1416,,relation
http://www.wikidata.org/prop/direct/P1419,relation,P1419,,relation
http://www.wikidata.org/prop/direct/P1427,relation,P1427,,relation
http://www.wikidata.org/prop/direct/P1429,relation,P1429,,relation
http://www.wikidata.org/prop/direct/P1431,relation,P1431,,relation
http://www.wikidata.org/prop/direct/P1433,relation,P1433,,relation
http://www.wikidata.org/prop/direct/P1434,relation,P1434,,relation
http://www.wikidata.org/prop/direct/P1435,relation,P1435,,relation
http://www.wikidata.org/prop/direct/P144,relation,P144,,relation
http://www.wikidata.org/prop/direct/P1441,relation,P1441,,relation
http://www.wikidata.org/prop/direct/P1444,relation,P1444,,relation
http://www.wikidata.org/prop/direct/P1445,relation,P1445,,relation
http://www.wikidata.org/prop/direct/P1455,relation,P1455,,relation
http://www.wikidata.org/prop/direct/P1478,relation,P1478,,relation
http://www.wikidata.org/prop/direct/P1479,relation,P1479,,relation
http://www.wikidata.org/prop/direct/P149,relation,P149,,relation
http://www.wikidata.org/prop/direct/P150,relation,P150,,relation
http://www.wikidata.org/prop/direct/P1532,relation,P1532,,relation
http://www.wikidata.org/prop/direct/P1535,relation,P1535,,relation
